"provinsi";"kabupaten";"urutan";"#desa"
JAWA TENGAH;PURWOREJO;1;469
JAWA TENGAH;KEBUMEN;2;432
JAWA TENGAH;KLATEN;3;381
JAWA TENGAH;PATI;4;374
JAWA TENGAH;MAGELANG;5;336
JAWA TIMUR;LAMONGAN;1;446
JAWA TIMUR;BOJONEGORO;2;385
JAWA TIMUR;MALANG;3;353
JAWA TIMUR;PASURUAN;4;349
JAWA TIMUR;GRESIK;5;347
ACEH;ACEH UTARA;1;770
ACEH;PIDIE;2;664
ACEH;ACEH BESAR;3;583
ACEH;BIREUEN;4;566
ACEH;ACEH TIMUR;5;458
SUMATERA UTARA;NIAS SELATAN;1;436
SUMATERA UTARA;SIMALUNGUN;2;409
SUMATERA UTARA;MANDAILING NATAL;3;388
SUMATERA UTARA;DELI SERDANG;4;372
SUMATERA UTARA;PADANG LAWAS UTARA;5;366
JAWA BARAT;CIREBON;1;415
JAWA BARAT;BOGOR;2;387
JAWA BARAT;KUNINGAN;3;351
JAWA BARAT;GARUT;4;343
JAWA BARAT;SUKABUMI;5;330
PAPUA;TOLIKARA;1;525
PAPUA;YAHUKIMO;2;509
PAPUA;LANNY JAYA;3;350
PAPUA;JAYAWIJAYA;4;330
PAPUA;PUNCAK JAYA;5;299
NUSA TENGGARA TIMUR;ENDE;1;276
NUSA TENGGARA TIMUR;TIMOR TENGAH SELATAN;2;270
NUSA TENGGARA TIMUR;FLORES TIMUR;3;247
NUSA TENGGARA TIMUR;TIMOR TENGAH UTARA;4;193
NUSA TENGGARA TIMUR;KUPANG;5;177
SUMATERA SELATAN;LAHAT;1;322
SUMATERA SELATAN;OGAN KOMERING ILIR;2;320
SUMATERA SELATAN;OGAN KOMERING ULU TIMUR;3;305
SUMATERA SELATAN;BANYUASIN;4;288
SUMATERA SELATAN;OGAN KOMERING ULU SELATAN;5;244
SULAWESI SELATAN;BONE;1;339
SULAWESI SELATAN;LUWU;2;223
SULAWESI SELATAN;WAJO;3;186
SULAWESI SELATAN;LUWU UTARA;4;168
SULAWESI SELATAN;GOWA;5;163
LAMPUNG;LAMPUNG TENGAH;1;303
LAMPUNG;TANGGAMUS;2;277
LAMPUNG;LAMPUNG TIMUR;3;253
LAMPUNG;LAMPUNG SELATAN;4;251
LAMPUNG;LAMPUNG UTARA;5;240
SULAWESI TENGGARA;KONAWE SELATAN;1;340
SULAWESI TENGGARA;KONAWE;2;335
